"city","thehour","Weekday","Journeys"
"10vorwien",0,1,3
"10vorwien",2,0,1
"10vorwien",3,0,1
"10vorwien",4,1,1
"10vorwien",5,0,1
"10vorwien",6,0,1
"10vorwien",6,1,1.33333333333333
"10vorwien",7,0,1
"10vorwien",7,1,1.26666666666667
"10vorwien",8,0,1.5
"10vorwien",8,1,1.54838709677419
"10vorwien",9,0,1.25
"10vorwien",9,1,1.45454545454545
"10vorwien",10,0,1.4
"10vorwien",10,1,1.40625
"10vorwien",11,0,2.05882352941176
"10vorwien",11,1,1.70588235294118
"10vorwien",12,0,2.21052631578947
"10vorwien",12,1,1.55555555555556
"10vorwien",13,0,1.57142857142857
"10vorwien",13,1,1.54545454545455
"10vorwien",14,0,2
"10vorwien",14,1,1.96774193548387
"10vorwien",15,0,2.15
"10vorwien",15,1,1.72222222222222
"10vorwien",16,0,2.35
"10vorwien",16,1,1.55263157894737
"10vorwien",17,0,1.66666666666667
"10vorwien",17,1,1.67924528301887
"10vorwien",18,0,2.09090909090909
"10vorwien",18,1,1.63636363636364
"10vorwien",19,0,1.5625
"10vorwien",19,1,1.36363636363636
"10vorwien",20,0,1.3
"10vorwien",20,1,1.5
"10vorwien",21,0,2.5
"10vorwien",21,1,1
"10vorwien",22,0,1.33333333333333
"10vorwien",22,1,1
"10vorwien",23,0,1
"10vorwien",23,1,1
"abudhabi",0,0,5.95121951219512
"abudhabi",0,1,4.31818181818182
"abudhabi",1,0,4.21212121212121
"abudhabi",1,1,4.76623376623377
"abudhabi",2,0,3.9
"abudhabi",2,1,3.27536231884058
"abudhabi",3,0,3.6
"abudhabi",3,1,3.49122807017544
"abudhabi",4,0,2.47368421052632
"abudhabi",4,1,3.42553191489362
"abudhabi",5,0,3.08333333333333
"abudhabi",5,1,3.025
"abudhabi",6,0,4.1875
"abudhabi",6,1,3.42990654205607
"abudhabi",7,0,4.84444444444444
"abudhabi",7,1,3.99009900990099
"abudhabi",8,0,4.95348837209302
"abudhabi",8,1,4.02298850574713
"abudhabi",9,0,5.16216216216216
"abudhabi",9,1,3.41379310344828
"abudhabi",10,0,5.83333333333333
"abudhabi",10,1,5.43820224719101
"abudhabi",11,0,6.18918918918919
"abudhabi",11,1,5.10975609756098
"abudhabi",12,0,5.91666666666667
"abudhabi",12,1,4.73076923076923
"abudhabi",13,0,6.18918918918919
"abudhabi",13,1,3.97872340425532
"abudhabi",14,0,3.84444444444444
"abudhabi",14,1,3.54285714285714
"abudhabi",15,0,3.61904761904762
"abudhabi",15,1,3.33720930232558
"abudhabi",16,0,5.77777777777778
"abudhabi",16,1,5.29591836734694
"abudhabi",17,0,8.97872340425532
"abudhabi",17,1,8.22413793103448
"abudhabi",18,0,14.6
"abudhabi",18,1,12.8682170542636
"abudhabi",19,0,15.4905660377358
"abudhabi",19,1,15.031007751938
"abudhabi",20,0,14.5849056603774
"abudhabi",20,1,13.2868217054264
"abudhabi",21,0,10.5
"abudhabi",21,1,11.7846153846154
"abudhabi",22,0,9.38
"abudhabi",22,1,9.12195121951219
"abudhabi",23,0,6.8
"abudhabi",23,1,6.64102564102564
"aksu",0,0,9.61702127659574
"aksu",0,1,11.15
"aksu",1,0,8.54347826086956
"aksu",1,1,6.91379310344828
"aksu",2,0,5.68181818181818
"aksu",2,1,7.83333333333333
"aksu",3,0,6.88372093023256
"aksu",3,1,5.80733944954128
"aksu",4,0,6.53488372093023
"aksu",4,1,6.4622641509434
"aksu",5,0,5.46511627906977
"aksu",5,1,6.17142857142857
"aksu",6,0,6.2093023255814
"aksu",6,1,6.94690265486726
"aksu",7,0,8.62222222222222
"aksu",7,1,8.63963963963964
"aksu",8,0,17.9375
"aksu",8,1,21.875
"aksu",9,0,41.2765957446809
"aksu",9,1,62.025
"aksu",10,0,45.4893617021277
"aksu",10,1,48.6083333333333
"aksu",11,0,39.7608695652174
"aksu",11,1,42.0833333333333
"aksu",12,0,38.3958333333333
"aksu",12,1,37.9916666666667
"aksu",13,0,35.5
"aksu",13,1,37.5537190082645
"aksu",14,0,28.6382978723404
"aksu",14,1,39.075
"aksu",15,0,23.6595744680851
"aksu",15,1,28.5833333333333
"aksu",16,0,27.3829787234043
"aksu",16,1,37.075
"aksu",17,0,27.0851063829787
"aksu",17,1,30.6666666666667
"aksu",18,0,27.5744680851064
"aksu",18,1,31.5083333333333
"aksu",19,0,31.1914893617021
"aksu",19,1,38.7272727272727
"aksu",20,0,34.8085106382979
"aksu",20,1,52.5833333333333
"aksu",21,0,28.2765957446809
"aksu",21,1,33.297520661157
"aksu",22,0,24.9583333333333
"aksu",22,1,24.781512605042
"aksu",23,0,17.4042553191489
"aksu",23,1,18.1848739495798
"albany",0,0,2.70588235294118
"albany",0,1,2.03030303030303
"albany",1,0,2.28571428571429
"albany",1,1,1.76923076923077
"albany",2,0,4.875
"albany",2,1,1.65
"albany",3,0,2.53333333333333
"albany",3,1,1.67857142857143
"albany",4,0,2.07692307692308
"albany",4,1,1.39130434782609
"albany",5,0,1.69230769230769
"albany",5,1,2.21276595744681
"albany",6,0,4.4
"albany",6,1,3.17391304347826
"albany",7,0,2.73684210526316
"albany",7,1,4.74509803921569
"albany",8,0,3
"albany",8,1,6.12244897959184
"albany",9,0,4
